,TEAM_NAME,GAME_DATE,GAME_ID,tweet_since,tweet_until
30396,Phoenix Suns,2010-04-14,20901230,2010-04-11,2010-04-13
30397,Miami Heat,2010-04-14,20901222,2010-04-11,2010-04-13
30398,Washington Wizards,2010-04-14,20901227,2010-04-11,2010-04-13
30399,Cleveland Cavaliers,2010-04-14,20901217,2010-04-11,2010-04-13
30400,Atlanta Hawks,2010-04-14,20901217,2010-04-11,2010-04-13
30401,Minnesota Timberwolves,2010-04-14,20901223,2010-04-11,2010-04-13
30402,Los Angeles Lakers,2010-04-14,20901228,2010-04-11,2010-04-13
30403,Chicago Bulls,2010-04-14,20901219,2010-04-11,2010-04-13
30404,Philadelphia 76ers,2010-04-14,20901225,2010-04-11,2010-04-13
30405,Charlotte Bobcats,2010-04-14,20901219,2010-04-11,2010-04-13
30406,Oklahoma City Thunder,2010-04-14,20901224,2010-04-11,2010-04-13
30407,San Antonio Spurs,2010-04-14,20901220,2010-04-11,2010-04-13
30408,New Jersey Nets,2010-04-14,20901222,2010-04-11,2010-04-13
30409,Los Angeles Clippers,2010-04-14,20901228,2010-04-11,2010-04-13
30410,Detroit Pistons,2010-04-14,20901223,2010-04-11,2010-04-13
30411,Orlando Magic,2010-04-14,20901225,2010-04-11,2010-04-13
30412,Portland Trail Blazers,2010-04-14,20901229,2010-04-11,2010-04-13
30413,Milwaukee Bucks,2010-04-14,20901218,2010-04-11,2010-04-13
30414,Dallas Mavericks,2010-04-14,20901220,2010-04-11,2010-04-13
30415,Memphis Grizzlies,2010-04-14,20901224,2010-04-11,2010-04-13
30416,Boston Celtics,2010-04-14,20901218,2010-04-11,2010-04-13
30417,New York Knicks,2010-04-14,20901226,2010-04-11,2010-04-13
30418,Indiana Pacers,2010-04-14,20901227,2010-04-11,2010-04-13
30419,Houston Rockets,2010-04-14,20901221,2010-04-11,2010-04-13
30420,Utah Jazz,2010-04-14,20901230,2010-04-11,2010-04-13
30421,New Orleans Hornets,2010-04-14,20901221,2010-04-11,2010-04-13
30422,Toronto Raptors,2010-04-14,20901226,2010-04-11,2010-04-13
30423,Golden State Warriors,2010-04-14,20901229,2010-04-11,2010-04-13
30424,Sacramento Kings,2010-04-13,20901215,2010-04-10,2010-04-12
30425,Utah Jazz,2010-04-13,20901214,2010-04-10,2010-04-12
30426,Boston Celtics,2010-04-13,20901213,2010-04-10,2010-04-12
30427,Phoenix Suns,2010-04-13,20901216,2010-04-10,2010-04-12
30428,Chicago Bulls,2010-04-13,20901213,2010-04-10,2010-04-12
30429,Denver Nuggets,2010-04-13,20901216,2010-04-10,2010-04-12
30430,Golden State Warriors,2010-04-13,20901214,2010-04-10,2010-04-12
30431,Los Angeles Lakers,2010-04-13,20901215,2010-04-10,2010-04-12
30432,Milwaukee Bucks,2010-04-12,20901207,2010-04-09,2010-04-11
30433,Indiana Pacers,2010-04-12,20901202,2010-04-09,2010-04-11
30434,Los Angeles Clippers,2010-04-12,20901212,2010-04-09,2010-04-11
30435,Miami Heat,2010-04-12,20901203,2010-04-09,2010-04-11
30436,Houston Rockets,2010-04-12,20901211,2010-04-09,2010-04-11
30437,New Jersey Nets,2010-04-12,20901205,2010-04-09,2010-04-11
30438,Detroit Pistons,2010-04-12,20901204,2010-04-09,2010-04-11
30439,Washington Wizards,2010-04-12,20901206,2010-04-09,2010-04-11
30440,Sacramento Kings,2010-04-12,20901211,2010-04-09,2010-04-11
30441,Minnesota Timberwolves,2010-04-12,20901208,2010-04-09,2010-04-11
30442,Toronto Raptors,2010-04-12,20901204,2010-04-09,2010-04-11
30443,Dallas Mavericks,2010-04-12,20901212,2010-04-09,2010-04-11
30444,Charlotte Bobcats,2010-04-12,20901205,2010-04-09,2010-04-11
30445,Memphis Grizzlies,2010-04-12,20901209,2010-04-09,2010-04-11
30446,Oklahoma City Thunder,2010-04-12,20901210,2010-04-09,2010-04-11
30447,Orlando Magic,2010-04-12,20901202,2010-04-09,2010-04-11
30448,San Antonio Spurs,2010-04-12,20901208,2010-04-09,2010-04-11
30449,New York Knicks,2010-04-12,20901206,2010-04-09,2010-04-11
30450,Portland Trail Blazers,2010-04-12,20901210,2010-04-09,2010-04-11
30451,Atlanta Hawks,2010-04-12,20901207,2010-04-09,2010-04-11
30452,Philadelphia 76ers,2010-04-12,20901203,2010-04-09,2010-04-11
30453,Denver Nuggets,2010-04-12,20901209,2010-04-09,2010-04-11
30454,Oklahoma City Thunder,2010-04-11,20901200,2010-04-08,2010-04-10
30455,Cleveland Cavaliers,2010-04-11,20901195,2010-04-08,2010-04-10
30456,Houston Rockets,2010-04-11,20901201,2010-04-08,2010-04-10
30457,Phoenix Suns,2010-04-11,20901201,2010-04-08,2010-04-10
30458,New York Knicks,2010-04-11,20901199,2010-04-08,2010-04-10
30459,Portland Trail Blazers,2010-04-11,20901196,2010-04-08,2010-04-10
30460,Golden State Warriors,2010-04-11,20901200,2010-04-08,2010-04-10
30461,Miami Heat,2010-04-11,20901199,2010-04-08,2010-04-10
30462,Orlando Magic,2010-04-11,20901195,2010-04-08,2010-04-10
30463,Minnesota Timberwolves,2010-04-11,20901198,2010-04-08,2010-04-10
30464,Toronto Raptors,2010-04-11,20901197,2010-04-08,2010-04-10
30465,New Orleans Hornets,2010-04-11,20901198,2010-04-08,2010-04-10
30466,Los Angeles Lakers,2010-04-11,20901196,2010-04-08,2010-04-10
30467,Chicago Bulls,2010-04-11,20901197,2010-04-08,2010-04-10
30468,Sacramento Kings,2010-04-10,20901193,2010-04-07,2010-04-09
30469,New Jersey Nets,2010-04-10,20901188,2010-04-07,2010-04-09
30470,Charlotte Bobcats,2010-04-10,20901187,2010-04-07,2010-04-09
30471,Detroit Pistons,2010-04-10,20901187,2010-04-07,2010-04-09
30472,Dallas Mavericks,2010-04-10,20901193,2010-04-07,2010-04-09
30473,Memphis Grizzlies,2010-04-10,20901190,2010-04-07,2010-04-09
30474,Philadelphia 76ers,2010-04-10,20901190,2010-04-07,2010-04-09
30475,Indiana Pacers,2010-04-10,20901188,2010-04-07,2010-04-09
30476,Atlanta Hawks,2010-04-10,20901189,2010-04-07,2010-04-09
30477,Golden State Warriors,2010-04-10,20901194,2010-04-07,2010-04-09
30478,Washington Wizards,2010-04-10,20901189,2010-04-07,2010-04-09
30479,San Antonio Spurs,2010-04-10,20901192,2010-04-07,2010-04-09
30480,Boston Celtics,2010-04-10,20901191,2010-04-07,2010-04-09
30481,Milwaukee Bucks,2010-04-10,20901191,2010-04-07,2010-04-09
30482,Los Angeles Clippers,2010-04-10,20901194,2010-04-07,2010-04-09
30483,Denver Nuggets,2010-04-10,20901192,2010-04-07,2010-04-09
30484,Minnesota Timberwolves,2010-04-09,20901180,2010-04-06,2010-04-08
30485,Milwaukee Bucks,2010-04-09,20901175,2010-04-06,2010-04-08
30486,San Antonio Spurs,2010-04-09,20901185,2010-04-06,2010-04-08
30487,Philadelphia 76ers,2010-04-09,20901175,2010-04-06,2010-04-08
30488,Toronto Raptors,2010-04-09,20901176,2010-04-06,2010-04-08
30489,Dallas Mavericks,2010-04-09,20901186,2010-04-06,2010-04-08
30490,Phoenix Suns,2010-04-09,20901183,2010-04-06,2010-04-08
30491,New Orleans Hornets,2010-04-09,20901182,2010-04-06,2010-04-08
30492,Indiana Pacers,2010-04-09,20901178,2010-04-06,2010-04-08
30493,Memphis Grizzlies,2010-04-09,20901185,2010-04-06,2010-04-08
30494,Miami Heat,2010-04-09,20901179,2010-04-06,2010-04-08
30495,Cleveland Cavaliers,2010-04-09,20901178,2010-04-06,2010-04-08
30496,Los Angeles Lakers,2010-04-09,20901180,2010-04-06,2010-04-08
30497,Washington Wizards,2010-04-09,20901177,2010-04-06,2010-04-08
30498,Atlanta Hawks,2010-04-09,20901176,2010-04-06,2010-04-08
30499,Orlando Magic,2010-04-09,20901174,2010-04-06,2010-04-08
30500,New Jersey Nets,2010-04-09,20901181,2010-04-06,2010-04-08
30501,Boston Celtics,2010-04-09,20901177,2010-04-06,2010-04-08
30502,Detroit Pistons,2010-04-09,20901179,2010-04-06,2010-04-08
30503,Utah Jazz,2010-04-09,20901182,2010-04-06,2010-04-08
30504,Portland Trail Blazers,2010-04-09,20901186,2010-04-06,2010-04-08
30505,Oklahoma City Thunder,2010-04-09,20901183,2010-04-06,2010-04-08
30506,Houston Rockets,2010-04-09,20901184,2010-04-06,2010-04-08
30507,Chicago Bulls,2010-04-09,20901181,2010-04-06,2010-04-08
30508,Charlotte Bobcats,2010-04-09,20901184,2010-04-06,2010-04-08
30509,New York Knicks,2010-04-09,20901174,2010-04-06,2010-04-08
30510,Cleveland Cavaliers,2010-04-08,20901171,2010-04-05,2010-04-07
30511,Denver Nuggets,2010-04-08,20901173,2010-04-05,2010-04-07
30512,Chicago Bulls,2010-04-08,20901171,2010-04-05,2010-04-07
30513,Los Angeles Lakers,2010-04-08,20901173,2010-04-05,2010-04-07
30514,Sacramento Kings,2010-04-08,20901172,2010-04-05,2010-04-07
30515,Los Angeles Clippers,2010-04-08,20901172,2010-04-05,2010-04-07
30516,Portland Trail Blazers,2010-04-07,20901169,2010-04-04,2010-04-06
30517,Boston Celtics,2010-04-07,20901159,2010-04-04,2010-04-06
30518,Los Angeles Clippers,2010-04-07,20901169,2010-04-04,2010-04-06
30519,New Jersey Nets,2010-04-07,20901162,2010-04-04,2010-04-06
30520,Golden State Warriors,2010-04-07,20901163,2010-04-04,2010-04-06
30521,Orlando Magic,2010-04-07,20901166,2010-04-04,2010-04-06
30522,Atlanta Hawks,2010-04-07,20901160,2010-04-04,2010-04-06
30523,Dallas Mavericks,2010-04-07,20901167,2010-04-04,2010-04-06
30524,Miami Heat,2010-04-07,20901161,2010-04-04,2010-04-06
30525,New Orleans Hornets,2010-04-07,20901164,2010-04-04,2010-04-06
30526,Washington Wizards,2010-04-07,20901166,2010-04-04,2010-04-06
30527,Denver Nuggets,2010-04-07,20901165,2010-04-04,2010-04-06
30528,Charlotte Bobcats,2010-04-07,20901164,2010-04-04,2010-04-06
30529,Utah Jazz,2010-04-07,20901168,2010-04-04,2010-04-06
30530,Phoenix Suns,2010-04-07,20901170,2010-04-04,2010-04-06
30531,Milwaukee Bucks,2010-04-07,20901162,2010-04-04,2010-04-06
30532,Memphis Grizzlies,2010-04-07,20901167,2010-04-04,2010-04-06
30533,Detroit Pistons,2010-04-07,20901160,2010-04-04,2010-04-06
